title	coverage_experiment	coverage_control
5fC_GSE40148	44541468	25334645
5hmC_GSE28682	59937080	51319430
5mC_GSE28682	15331697	51319430
BRG1_GSE14344	8959013	9767035
CBX3_GSE44242	20958290	57049218
CBX7_GSE42466	14227751	20137796
CDK9_GSE44286	19256426	46580723
CMYC_GSE11431	9405973	5303199
COREST_GSE27841	8797614	11385417
CTCF_GSE25777	8701286	8216416
CTCF_GSE28247	10858040	8655484
CTCF_GSE29184	7253652	9705832
E2F1_GSE11431	8323291	5303199
ESRRB_GSE11431	9921517	5303199
EZH2_GSE46536	38250270	31266463
EZH2_GSE49431	37690290	19112054
EZH2_GSE55697	43589279	39636827
EZH2_GSE66830	14603987	21149592
H2AUB1_GSE34518	14019447	10387151
H2AZ_GSE36114	12431302	2117136
H2AZ_GSE39237	6256368	151849338
H2AZ_GSE53208	71102377	151849338
H3K27ac_GSE31039	55373216	30136964
H3K27ac_GSE36114	12870779	2117136
H3K27me3_GSE12241	6187495	750815
H3K27me3_GSE36114	9391345	2117136
H3K27me3_GSE41589	21167555	14629098
H3K27me3_GSE47949	161514916	151849338
H3K27me3_GSE55697	59071103	39636827
H3K36me2_GSE41589	13944613	14629098
H3K36me3_GSE11724	4719041	3057967
H3K36me3_GSE12241	6671075	750815
H3K36me3_GSE31039	53770495	30136964
H3K36me3_GSE34518	20223512	10387151
H3K36me3_GSE36114	21359164	2117136
H3K36me3_GSE41589	17967603	14629098
H3K4me1_GSE11172	4074801	750815
H3K4me1_GSE29184	9511206	9705832
H3K4me1_GSE31039	56985078	30136964
H3K4me1_GSE32218	51287279	41825146
H3K4me1_GSE36114	17267374	2117136
H3K4me1_GSE47949	271582199	151849338
H3K4me2_GSE11172	1971564	750815
H3K4me2_GSE36114	12866015	2117136
H3K4me3_GSE11724	7604942	3057967
H3K4me3_GSE12241	6534470	750815
H3K4me3_GSE29184	12979614	9705832
H3K4me3_GSE31039	32646912	30136964
H3K4me3_GSE32218	38548649	41825146
H3K4me3_GSE36114	4119905	2117136
H3K79me2_GSE11724	4251714	3057967
H3K9ac_GSE31039	51328306	30136964
H3K9me3_GSE12241	4054925	750815
H3K9me3_GSE18371	5526025	3967671
H3K9me3_GSE31039	54782509	24644941
H3K9me3_GSE32218	40204176	41825146
H3K9me3_GSE47894	100311063	46678970
H4K20me3_GSE12241	4835653	750815
HCFC1_GSE36030	36381074	41825146
HDAC1_GSE27841	9332361	11385417
HDAC2_GSE27841	7710244	11385417
HDAC3_GSE116480	86062312	75997085
KAP1_GSE41903	2753747	9316509
KDM2a_GSE40860	20869743	20313648
KDM2b_GSE37930	8565971	34087023
KDM2b_GSE40860	24469606	20313648
KLF4_GSE11431	4645052	5303199
LAMINB_GSE28247	13319546	8655484
LSD1_GSE18515	6506807	4223265
LSD1_GSE27841	25486352	11385417
MAFK_GSE36030	28113939	41825146
MAX_GSE48175	36151721	49731164
MBD1a_GSE39610	381597	100980395
MBD1b_GSE39610	571518	100980395
MBD2a_GSE39610	394308	100980395
MBD2t_GSE39610	751224	100980395
MBD3a_GSE39610	534474	100980395
MBD4_GSE39610	880827	100980395
MECP2_GSE39610	1010636	100980395
MED1_GSE22562	24405178	3517607
MED12_GSE22562	18750366	3517607
MI2B_GSE27841	20116215	11385417
MLL2_GSE48172	15254904	15762268
NANOG_GSE11431	63950	5303199
NANOG_GSE11724	7296121	3057967
NANOG_GSE44286	32671496	46580723
NIPBL_GSE22562	20326236	3517607
NMYC_GSE11431	6100333	5303199
OCT4_GSE11431	6039110	5303199
OCT4_GSE11724	3996425	3057967
OCT4_GSE44286	31677326	46580723
OGT_GSE39154	30732786	31068260
P300_GSE11431	6927234	5303199
P300_GSE28247	16145950	8655484
P300_GSE29184	10280529	9705832
PHF19_GSE41589	9717903	6409554
PHF19_GSE41609	19249583	21690181
RAD21_GSE25777	18077212	8216416
REST_GSE27841	17362747	11385417
RING1B_GSE34518	23433690	10387151
RING1B_GSE42466	8023912	5155969
RING1B_GSE55697	46775202	39636827
RNAPII_GSE12241	1194446	750815
RNAPII_GSE28247	8791782	8655484
RNAPII_GSE29184	5322078	9705832
RNAPII_8WG16_GSE34518	20741157	10387151
RNAPII_S2P_GSE34518	26211019	10387151
RNAPII_S5P_GSE34518	11403737	10387151
RNAPII_S7P_GSE34518	9444091	10387151
RYBP_GSE42466	26703969	20137796
SETDB1_GSE18371	7880439	3967671
SIN3A_GSE24841_abcam	23344667	21812374
SIN3A_GSE24841_scruz	14274365	21812374
SMAD1_GSE11431	30385	5303199
SMC1_GSE22562	23002729	3517607
SMC3_GSE22562	21871863	3517607
SOX2_GSE11431	1632316	5303199
SOX2_GSE11724	8240199	3057967
SOX2_GSE44286	34992697	46580723
STAT3_GSE11431	6955542	5303199
SUZ12_GSE11431	7916404	5303199
SUZ12_GSE11724	4340182	3057967
SUZ12_GSE42466	12200811	5155969
SUZ12_GSE44286	4972840	46580723
SUZ12_GSE49431	39601999	19112054
SUZ12_GSE55697	50362590	39636827
SUZ12_GSE66830	13850547	21149592
TAF1_GSE30959	42799390	38310567
TAF1_GSE36114	20624422	2117136
TAF3_GSE30959	36977356	41107297
TBP_GSE30959	33970813	33866501
TCF3_GSE11724	7264522	3057967
TCFCP2I1_GSE11431	8933104	5303199
TET1_GSE24841_C	28894867	21812374
TET1_GSE24841_N	27195981	21812374
YY1_GSE68195	47937891	35408223
ZC3H11A_GSE36030	42968124	41825146
ZNF384_GSE36030	31201493	41825146
